Lý do,Key,Promotion Master Code,Promotion Code,Promo. Detail Line ID,Allocation Code,Brand Code,Brand Name,Section Code,Section Name,Expense Code,Expense Name,Allocation Percent,PA No,Promotion Bus Posting Group,Product Code (Material),Created By,Created Date,Created Time,Last Updated By,Last Updated Date,Last Updated Time,Deleted
Mức (detail line) đã xóa trên SFA,EPS2609009000194640202042105,EPS2609009,0001,6,946,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194740202042105,EPS2609009,0001,6,947,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194840202042105,EPS2609009,0001,6,948,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194140202042105,EPS2609009,0001,7,941,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194240202042105,EPS2609009,0001,7,942,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194340202042105,EPS2609009,0001,7,943,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194440202042105,EPS2609009,0001,7,944,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194540202042105,EPS2609009,0001,7,945,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194640202042105,EPS2609009,0001,7,946,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194740202042105,EPS2609009,0001,7,947,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194840202042105,EPS2609009,0001,7,948,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194140202042105,EPS2609009,0001,8,941,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194240202042105,EPS2609009,0001,8,942,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194340202042105,EPS2609009,0001,8,943,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194440202042105,EPS2609009,0001,8,944,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194540202042105,EPS2609009,0001,8,945,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194640202042105,EPS2609009,0001,8,946,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194740202042105,EPS2609009,0001,8,947,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000194840202042105,EPS2609009,0001,8,948,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46274,0.58342592592593001,
Mức (detail line) đã xóa trên SFA,EPS2609009000294940202042105,EPS2609009,0002,2,949,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295040202042105,EPS2609009,0002,2,950,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295140202042105,EPS2609009,0002,2,951,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295240202042105,EPS2609009,0002,2,952,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295340202042105,EPS2609009,0002,2,953,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295440202042105,EPS2609009,0002,2,954,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295540202042105,EPS2609009,0002,2,955,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295640202042105,EPS2609009,0002,2,956,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000294940202042105,EPS2609009,0002,3,949,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295040202042105,EPS2609009,0002,3,950,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295140202042105,EPS2609009,0002,3,951,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295240202042105,EPS2609009,0002,3,952,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295340202042105,EPS2609009,0002,3,953,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295440202042105,EPS2609009,0002,3,954,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295540202042105,EPS2609009,0002,3,955,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295640202042105,EPS2609009,0002,3,956,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000294940202042105,EPS2609009,0002,4,949,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295040202042105,EPS2609009,0002,4,950,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295140202042105,EPS2609009,0002,4,951,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295240202042105,EPS2609009,0002,4,952,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
Mức (detail line) đã xóa trên SFA,EPS2609009000295340202042105,EPS2609009,0002,4,953,402020,Retail,42105,Tradition Trade Sales,6321999999,COGS_PROMOTION BY PRODUCT,100,,,,truc_mt,46274,0.46203703703704002,truc_mt,46275,0.45282407407406999,
